# RFC 0044 conformance baseline — homing-demo's pre-existing violations, grandfathered to warnings.
# One finding fingerprint per line: '<moduleClass> [<rule>] <message>' (line-number-independent).
# Covers the whole homing-demo crate (browsed by the demo's conformance studio):
#   - the animation demos redraw via rootElement.replaceChildren();
#   - the SVG demos + standard MPA read the view param via URLSearchParams;
#   - two animation modules predate the 250 effective-line global cap;
#   - MovingAnimalGame's audio still uses setTimeout — flagged by the downstream game-loop rule;
#   - DocViewWidget renders markdown via innerHTML.
# Anything NOT here is a NEW violation and fails the build. Regenerate deliberately; list should shrink.
#
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [max-effective-lines] module exceeds the 250 effective-line limit — split it
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [max-effective-lines] module exceeds the 250 effective-line limit — split it
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [raf-game-loop] wall-clock timer in a game loop (use requestAnimationFrame): (function (note, t) { setTimeout(function () { deathSynth.triggerAttackRelease(note, '16n'); }, t); })(notes[di], timing[di]);
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [raf-game-loop] wall-clock timer in a game loop (use requestAnimationFrame): bgmTimer = setTimeout(bgmStep, durationToMs(dur, bgmData.bpm));
hue.captains.singapura.js.homing.demo.es.svg.DecomposedSvgDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.es.svg.ExtrudedSvgDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.es.svg.ExtrudedTurtleDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.studio.DemoStandardMPA [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.playground.DocViewWidget [view-doctrine] innerHTML/outerHTML write (Pure-Component Views): body.innerHTML = marked.parse(md);

# ---- 2026-08-22: the 0.7.0 view-rule surface (no-inline-style / no-literal-color /
# use-dom-ops-party / view-doctrine / no-raw-href) grandfathered over the pre-existing
# modules AND the WorkspaceMPA-GENERATED appMain boilerplate (mainHost tweaks, error
# fallbacks) that every MPA app inherits — framework debt, tracked upstream. The
# hand-written RFC 0050 grid demo widgets are strict-clean and NOT listed here.
hue.captains.singapura.js.homing.demo.es.animation.AnimalCell [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var cell = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M196.787824 647.375298c26.334283 11.576195 62.711259 16.151727 109.23083 13.938887 46.851746-2.227824 81.225678-11.588683 103.159258-28.492175a7.492683 7.492683 0 1 0-9.151063-11.86841c-19.06638 14.695649-50.653034 23.294751-94.722498 25.392702-44.404137 2.112937-78.600741-2.190361-102.489912-12.690107a7.492683 7.492683 0 1 0-6.026615 13.719103z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M206.04878 539.473171c18.621815 0 33.717073-16.339044 33.717074-36.491864 0-20.155317-15.095259-38.187707-33.717074-38.187707S172.331707 482.82599 172.331707 502.981307C172.331707 523.134127 187.426966 539.473171 206.04878 539.473171z" fill="#FFFFFF"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M206.04878 546.965854C183.151141 546.965854 164.839024 527.14521 164.839024 502.981307c0-24.401171 18.476956-45.68039 41.209756-45.68039s41.209756 21.27922 41.209757 45.68039C247.258537 527.14521 228.94642 546.965854 206.04878 546.965854z m0-14.985366c14.34599 0 26.22439-12.857444 26.224391-28.999181 0-16.556332-12.275512-30.695024-26.224391-30.695024S179.82439 486.424976 179.82439 502.981307C179.82439 519.123044 191.70279 531.980488 206.04878 531.980488z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M211.043902 485.77561m-3.746341 0a3.746341 3.746341 0 1 0 7.492683 0 3.746341 3.746341 0 1 0-7.492683 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M219.785366 601.912195m-4.995122 0a4.995122 4.995122 0 1 0 9.990244 0 4.995122 4.995122 0 1 0-9.990244 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M226.506302 355.854985c99.909932 12.360429 159.636605 18.973971 179.57963 19.878088 20.692293 0.936585 39.431493-2.532527 56.132683-10.439805a6.243902 6.243902 0 1 0-5.344781-11.286478c-14.793054 7.005659-31.506732 10.097639-50.223454 9.250966-19.46599-0.884137-79.13522-7.492683-178.610575-19.795668a6.243902 6.243902 0 1 0-1.533503 12.392897z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M232.273171 459.55122m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M247.258537 281.575024l0.794224-11.713561c-0.002498-6.965698 6.421229-12.612683 14.343493-12.612683s14.343493 5.646985 14.343492 12.612683L277.229268 282.22439" fill="#6FCB6C"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M247.258537 462.04878m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M249.756098 671.843902c24.775805 41.714263 23.179863 65.00402 13.259551 81.590322s-13.956371 36.724137 4.400702 40.115825c18.357073 3.391688 66.257795-5.794341 83.525932-32.096156 17.268137-26.299317 7.340332-56.702127 41.177288-79.364995" fill="#54C6D5"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M256.197307 668.017639c23.479571 39.531395 26.539083 67.047024 13.247064 89.265327-4.670439 7.807376-7.375298 15.577288-7.340332 21.111883 0.029971 4.69042 1.733307 6.873288 6.673483 7.784897 8.429268 1.558478 24.05401-0.134868 38.564839-4.692917 17.045854-5.354771 30.540176-13.791532 37.338537-24.146419 4.528078-6.898263 7.023141-13.746576 10.097639-26.024586 0.207298-0.82919 0.354654-1.418615 0.754263-3.039531 3.279298-13.274537 5.174946-19.341112 9.028683-26.79883 5.184937-10.0352 12.635161-18.414517 23.387161-25.614985a7.492683 7.492683 0 0 1 8.339356 12.450342c-15.484878 10.369873-20.322654 19.733229-26.206907 43.557463-0.404605 1.633405-0.551961 2.235317-0.766752 3.084488-3.451629 13.784039-6.433717 21.963551-12.110673 30.607609-9.00121 13.71161-25.327766 23.921639-45.37319 30.220488-16.666224 5.234888-34.671141 7.182985-45.777795 5.132488-12.233054-2.260293-18.864078-10.754498-18.936507-22.430595-0.052449-8.696507 3.511571-18.944 9.468253-28.896781 10.080156-16.848546 7.650029-38.689717-13.269541-73.917814a7.492683 7.492683 0 1 1 12.882419-7.652527z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M259.746341 429.580488m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M259.746341 444.565854m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M261.090029 270.872976c2.547512 0 4.610498 2.065483 4.610498 4.610497v2.132917a4.610498 4.610498 0 0 1-9.220995-0.002497v-2.13042a4.608 4.608 0 0 1 4.610497-4.610497z" fill="#4E904C"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M262.396254 249.756098c-11.761015 0-21.671337 8.626576-21.836176 19.820643l-0.779239 11.491279a7.492683 7.492683 0 1 0 14.9504 1.014009l0.794224-11.713561 0.017483-0.507005c0-2.597463 2.8672-5.12 6.853308-5.12 3.98361 0 6.85081 2.522537 6.850809 5.12l0.004996 0.294713 0.489521 12.362926a7.490185 7.490185 0 0 0 7.7824 7.190478 7.490185 7.490185 0 0 0 7.190479-7.7824l-0.48203-12.233053c-0.097405-11.251512-10.032702-19.938029-21.836175-19.938029z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M273.048351 508.910517A14.985366 14.985366 0 1 0 284.721951 484.526829a14.985366 14.985366 0 0 0-14.97038 15.687181l9.975258 1.396136-6.678478 7.300371z" fill="#232323"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M274.731707 449.560976m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M277.229268 427.082927m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M293.208663 516.375727l18.761678-6.333815a3.746341 3.746341 0 1 1 2.397659 7.095571l-18.761678 6.336312a3.746341 3.746341 0 1 1-2.397659-7.098068zM298.940566 531.006439l18.764175-6.336312a3.746341 3.746341 0 0 1 2.402654 7.093073l-18.764175 6.341307a3.751337 3.751337 0 0 1-4.750361-2.350205 3.743844 3.743844 0 0 1 2.347707-4.747863z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M294.712195 281.575024l0.736781-11.713561c-0.002498-6.965698 5.964176-12.612683 13.316995-12.612683 7.355317 0 13.234576 5.075044 15.459902 12.612683L324.682927 282.22439" fill="#6FCB6C"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M295.960976 541.970732c25.51758 0 46.204878-20.48999 46.204878-45.765308C342.165854 470.930107 319.06841 449.560976 293.550829 449.560976S249.756098 470.930107 249.756098 496.205424 270.443395 541.970732 295.960976 541.970732z" fill="#FFFFFF"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M295.960976 549.463415c-29.641054 0-53.697561-23.829229-53.697561-53.257991C242.263415 466.264663 264.346849 442.068293 293.550829 442.068293 323.404176 442.068293 349.658537 466.968976 349.658537 496.205424 349.658537 525.634185 325.602029 549.463415 295.960976 549.463415z m0-14.985366c21.396605 0 38.712195-17.150751 38.712195-38.272625C334.673171 475.428215 315.29959 457.053659 293.550829 457.053659 272.943454 457.053659 257.24878 474.251863 257.24878 496.205424 257.24878 517.327298 274.564371 534.478049 295.960976 534.478049z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M297.988995 338.621815c-1.905639 3.119454-4.031063 7.620059-6.3488 13.471844l14.425912 1.77077c-1.226302-6.241405-2.502556-11.121639-3.811278-14.608234-0.649366-1.733307-1.286244-3.057015-1.858185-3.943649-0.684332 0.724293-1.503532 1.830712-2.407649 3.309269z m3.47161-13.898927c7.844839 0.791727 11.905873 11.623649 15.659707 34.101697a4.995122 4.995122 0 0 1-5.534595 5.781854l-27.473171-3.374205a4.995122 4.995122 0 0 1-4.086009-6.663493c7.610068-20.934556 13.541776-30.642576 21.434068-29.845853z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M299.707317 409.6m-4.995122 0a4.995122 4.995122 0 1 0 9.990244 0 4.995122 4.995122 0 1 0-9.990244 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M300.956098 329.693034c4.225873 0.427083 7.972215 10.412332 11.239024 29.955746l-27.473171-3.371707c6.598556-18.149776 12.010771-27.011122 16.234147-26.584039z" fill="#FFFFFF"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M307.557151 270.872976c2.36519 0 4.28082 1.918127 4.28082 4.280819v2.789776a4.28082 4.28082 0 0 1-8.561639 0v-2.789776a4.275824 4.275824 0 0 1 4.280819-4.280819z" fill="#4E904C"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M317.190244 282.499122a7.492683 7.492683 0 1 0 14.975376-0.549463l-0.487025-13.304508-0.267239-0.904117c-3.161912-10.722029-11.928351-17.984937-22.645385-17.984936-11.313951 0-20.662322 8.768937-20.809678 19.840624l-0.726791 11.506263a7.492683 7.492683 0 0 0 14.957893 0.941581l0.736781-11.711064 0.014985-0.472039c0-2.732332 2.522537-5.12 5.82681-5.12 3.529054 0 6.53362 2.315239 8.009678 6.436215l0.414595 11.321444z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M319.687805 419.590244m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M332.17561 394.614634m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M340.017951 277.436566c0.207298 0.981541 0.339668 1.968078 0.38962 2.949619 0.499512 9.128585-5.654478 17.308098-14.538303 19.196254-9.945288 2.115434-19.778185-4.345756-21.931083-14.475863l-0.362146-1.708332-14.660683 3.114458 0.364644 1.71083c3.866224 18.189737 21.628878 29.860839 39.703727 26.017092 16.15922-3.434146 27.280859-18.222205 26.389229-34.666146a34.456351 34.456351 0 0 0-0.699317-5.252371l-14.658185 3.114459z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M340.135337 277.876137l-0.154849-0.724293c-0.437073-2.055493-2.14041-3.241834-3.611473-2.927142-1.473561 0.312195-2.547512 2.090459-2.110439 4.140957l0.154848 0.72679a7.492683 7.492683 0 1 1-14.658185 3.114458l-0.154849-0.724292c-2.112937-9.945288 3.868722-19.838127 13.654166-21.916098 9.785444-2.080468 19.27118 4.520585 21.386615 14.468371l0.154849 0.724292a7.492683 7.492683 0 1 1-14.660683 3.116957z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M344.713366 549.995395c-0.324683 0.154849-0.664351 0.324683-1.13639 0.559454l-1.253776 0.619395c-1.078946 0.529483-1.923122 0.946576-2.782283 1.356176-3.7888 1.82322-7.043122 3.219356-10.299941 4.345756-6.928234 2.397659-13.029776 3.259317-18.576859 1.950595-13.621698-3.206868-20.340137-8.291902-25.367727-22.360664-5.23239-14.640702-2.719844-31.544195 5.472156-40.240702 6.101541-6.478673 17.832585-11.558712 28.617054-13.821503 6.011629-1.261268 12.345444 0.042459 18.958985 3.586498 22.857678-10.562185 40.722732-18.224702 53.64761-23.002537 13.559259-5.005112 37.485893-12.675122 71.882303-23.047492a7.492683 7.492683 0 1 1 4.328273 14.348488c-34.121678 10.289951-57.823532 17.890029-71.010654 22.760273-13.144663 4.857756-31.868878 12.927376-56.107707 24.198868a7.500176 7.500176 0 0 1-7.235434-0.507005c-4.910205-3.18439-8.681522-4.228371-11.386381-3.663922-8.059629 1.688351-17.243161 5.669463-20.784702 9.428293-4.07602 4.330771-5.706927 15.297561-2.265288 24.925658 3.144429 8.791415 5.649483 10.689561 14.690654 12.814986 2.227824 0.524488 5.749385 0.024976 10.24-1.523512 2.627434-0.909112 5.397229-2.097951 8.716487-3.696391a656.558829 656.558829 0 0 0 5.055064-2.485073c2.692371-1.318712 4.533073-3.831259 5.614517-8.18201a7.497678 7.497678 0 0 1 6.343805-5.624507c19.923044-2.485073 37.770615-5.599532 53.547707-9.330888 15.849522-3.758829 39.71122-10.53721 71.515161-20.322653a7.492683 7.492683 0 0 1 4.405698 14.323512c-32.088663 9.875356-56.225093 16.728663-72.46923 20.577405-15.067785 3.571512-31.878868 6.57358-50.450731 9.02119-2.472585 5.884254-6.46119 10.317424-11.910869 12.992312z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M348.125034 329.723005c6.216429 0.824195 11.723551 12.465327 16.518868 34.920897l-37.463414-2.192858c7.744937-22.645385 14.72562-33.554732 20.944546-32.728039z" fill="#FFFFFF"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M352.403356 341.20679c-2.100449-4.440663-3.946146-6.401249-4.93518-6.533619-2.240312-0.29721-7.390283 7.332839-13.336976 23.179863l24.163902 1.41362c-1.888156-7.737444-3.863727-13.769054-5.891746-18.059864z m-3.623961-16.436449c9.390829 1.246283 15.464898 14.091239 20.747239 38.832079a4.995122 4.995122 0 0 1-5.177444 6.029112l-37.463414-2.192859a4.995122 4.995122 0 0 1-4.435669-6.603551c8.629073-25.220371 16.408976-37.380995 26.329288-36.064781z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M359.783649 134.513639a12.135649 12.09319 90 1 0 24.18638 0 12.135649 12.09319 90 1 0-24.18638 0Z" fill="#7BFFFB"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M368.232898 339.770693a7.492683 7.492683 0 0 0 14.768078-2.532527L371.637073 271.017834C366.716878 247.815493 344.356215 233.122341 321.610927 237.95762S284.409756 265.310907 289.28 288.221034a7.492683 7.492683 0 1 0 14.658185-3.114458c-3.156917-14.852995 6.168976-29.383805 20.784703-32.490771 14.570771-3.096976 28.956722 6.318829 32.17358 21.091902l11.338927 66.062986z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M370.343337 216.561015a24.2688 24.188878 90 1 0 48.377756 0 24.2688 24.188878 90 1 0-48.377756 0Z" fill="#7BFFFB"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M371.876839 151.64441c-9.443278 0-17.09081-7.672507-17.09081-17.130771 0-9.455766 7.647532-15.559805 17.09081-15.559805 9.44078 0 17.088312 6.104039 17.088312 15.559805 0.002498 9.458263-7.645034 17.130771-17.088312 17.130771z m0-9.990244a7.118049 7.118049 0 0 0 7.098068-7.140527A7.118049 7.118049 0 0 0 371.876839 127.37561a7.118049 7.118049 0 0 0-7.100566 7.138029 7.123044 7.123044 0 0 0 7.100566 7.140527z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M372.136585 392.117073m-4.995122 0a4.995122 4.995122 0 1 0 9.990244 0 4.995122 4.995122 0 1 0-9.990244 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M383.675317 272.763629a10.489756 10.489756 0 1 0 7.942244-17.345561 10.489756 10.489756 0 0 0-10.489756 10.277464l7.777405 1.128897-5.229893 5.9392z" fill="#232323"/>
